Year,short_name,long_name,age,nationality,club,overall,potential,eff_overall,player_positions,team_position,contract_valid_until
2015,S. Arfield,Scott Arfield,25,Scotland,Burnley,68,70,69,"RM, LM, CM",RM,2017
2015,R. Wallace,Ross Wallace,29,Scotland,Burnley,68,68,68,"RM, LM",SUB,2015
2015,D. Marney,Dean Marney,30,England,Burnley,68,68,68,"CM, CDM",RCM,2015
2015,G. Boyd,George Boyd,28,Scotland,Burnley,68,68,68,"LM, CAM",LM,2017
2015,M. Duff,Michael Duff,36,Northern Ireland,Burnley,67,67,67,CB,RCB,2015
2015,M. Sordell,Marvin Sordell,23,England,Burnley,66,71,67,ST,LS,2017
2015,M. Keane,Michael Keane,21,England,Burnley,65,75,67,"CB, RB",SUB,2015
2015,K. Long,Kevin Long,23,Republic of Ireland,Burnley,65,71,67,CB,SUB,2015
2015,D. Lafferty,Daniel Lafferty,25,Northern Ireland,Burnley,64,69,65,LB,RES,2017
2015,A. Cisak,Alex Cisak,25,Australia,Burnley,63,69,65,GK,RES,2016
2015,C. Howieson,Cameron Howieson,19,New Zealand,Burnley,62,74,65,"CAM, CM",RES,2015
2015,S. Hewitt,Steven Hewitt,20,England,Burnley,59,69,61,CM,RES,2016
2015,J. Gilchrist,Jason Gilchrist,19,England,Burnley,58,70,61,ST,RES,2015
2015,C. Dummigan,Cameron Dummigan,18,Northern Ireland,Burnley,56,65,58,RB,RES,2016
2015,L. Conlan,Luke Conlan,19,Northern Ireland,Burnley,56,64,58,LB,RES,2015
2015,T. Anderson,Tom Anderson,20,England,Burnley,56,63,58,CB,RES,2015
2015,J. Hall,Jaden Hall,20,England,Burnley,55,65,57,"RM, CAM",RES,2021
2015,A. Whitmore,Alex Whitmore,18,England,Burnley,55,63,57,CB,RES,2015
2015,E. Hazard,Eden Hazard,23,Belgium,Chelsea,88,90,89,"LM, RM",LM,2017
2015,T. Courtois,Thibaut Courtois,22,Belgium,Chelsea,86,90,87,GK,GK,2019
2015,Diego Costa,Diego Costa,25,Spain,Chelsea,85,87,86,ST,ST,2019
2015,P. Cech,Petr Cech,32,Czech Republic,Chelsea,85,85,85,GK,SUB,2016
2015,Oscar,Oscar,22,Brazil,Chelsea,84,87,85,"CAM, RM",CAM,2015
2015,Cesc Fabregas,Cesc Fabregas,27,Spain,Chelsea,84,84,84,"CM, CAM",RDM,2019
2015,J. Terry,John Terry,33,England,Chelsea,83,83,83,CB,LCB,2015
2015,N. Matic,Nemanja Matic,25,Serbia,Chelsea,82,85,83,"CDM, CM",LDM,2019
2015,Willian,Willian Borges,25,Brazil,Chelsea,82,84,83,"RM, CAM",SUB,2018
2015,Filipe Luis,Filipe Luis,28,Brazil,Chelsea,82,82,82,LB,SUB,2017
2015,A. Schurrle,Andre Schurrle,23,Germany,Chelsea,81,84,82,"LM, RM",RM,2018
2015,Ramires,Ramires,27,Brazil,Chelsea,81,82,82,"CDM, CM",SUB,2017
2015,D. Drogba,Didier Drogba,36,Ivory Coast,Chelsea,81,81,81,ST,SUB,2015
2015,G. Cahill,Gary Cahill,28,England,Chelsea,81,81,81,CB,RCB,2015
2015,B. Ivanovic,Branislav Ivanovic,30,Serbia,Chelsea,81,81,81,"RB, CB",RB,2016
2015,L. Remy,Loic Remy,27,France,Chelsea,80,82,81,"ST, LW",SUB,2018
2015,Azpilicueta,Cesar Azpilicueta,24,Spain,Chelsea,79,82,80,"LB, RB",LB,2019
2015,J. Mikel,John Obi Mikel,27,Nigeria,Chelsea,78,80,79,"CDM, CM",SUB,2017
2015,M. Salah,Mohamed Salah,22,Egypt,Chelsea,76,84,78,RM,SUB,2020
2015,M. Schwarzer,Mark Schwarzer,41,Australia,Chelsea,76,76,76,GK,SUB,2015
2015,K. Zouma,Kurt Zouma,19,France,Chelsea,74,84,76,"CB, RB",SUB,2019
2015,N. Ake,Nathan Ake,19,Netherlands,Chelsea,67,82,70,"CB, CDM",SUB,2018
2015,T. Kane,Todd Kane,20,England,Chelsea,64,74,66,"RB, RM",SUB,2016
2015,K. Palmer,Kasey Palmer,17,England,Chelsea,63,75,66,"CAM, RM",RES,2017
2015,I. Brown,Isaiah Brown,17,England,Chelsea,60,78,64,"ST, LM",RES,2020
2015,J. Boga,Jeremie Boga,17,France,Chelsea,59,80,64,CAM,RES,2021
2015,L. Baker,Lewis Baker,19,England,Chelsea,59,77,63,"CAM, CM",RES,2019
2015,C. Musonda,Charly Musonda,17,Belgium,Chelsea,58,75,62,CAM,RES,2020
2015,A. Christensen,Andreas Christensen,18,Denmark,Chelsea,58,67,60,CB,RES,2016
2015,O. Aina,Ola Aina,17,England,Chelsea,57,68,60,RB,RES,2015
2015,R. Loftus-Cheek,Ruben Loftus-Cheek,18,England,Chelsea,56,76,60,CM,RES,2016
2015,T. Musonda,Tika Musonda,20,Belgium,Chelsea,54,68,57,"CDM, CB",RES,2016
2015,A. Davey,Alex Davey,19,Scotland,Chelsea,54,65,57,CB,RES,2015
2015,B. Bannan,Barry Bannan,24,Scotland,Crystal Palace,75,76,76,"RM, CAM, LM, CM",SUB,2016
2015,J. Speroni,Julian Speroni,35,Argentina,Crystal Palace,75,75,75,GK,GK,2015
2015,M. Chamakh,Marouane Chamakh,30,Morocco,Crystal Palace,75,75,75,"CAM, ST, CF",SUB,2016
2015,M. Jedinak,Mile Jedinak,29,Australia,Crystal Palace,75,75,75,"CDM, CM",LDM,2017
2015,J. Ward,Joel Ward,24,England,Crystal Palace,74,78,75,"LB, RB, CDM",LB,2016
2015,M. Kelly,Martin Kelly,24,England,Crystal Palace,74,77,75,RB,SUB,2017
2015,B. Hangeland,Brede Hangeland,33,Norway,Crystal Palace,74,74,74,CB,SUB,2015
2015,Y. Bolasie,Yannick Bolasie,25,DR Congo,Crystal Palace,73,77,74,"LM, RM",SUB,2017
2015,S. Dann,Scott Dann,27,England,Crystal Palace,73,74,74,CB,RCB,2017
2015,A. Johnson,Andrew Johnson,33,England,Crystal Palace,73,73,73,ST,SUB,2021
2015,J. Puncheon,Jason Puncheon,28,England,Crystal Palace,73,73,73,"RM, LM",RM,2018
2015,W. Zaha,Wilfried Zaha,21,England,Crystal Palace,72,81,74,"LM, RM",LM,2015
2015,W. Hennessey,Wayne Hennessey,27,Wales,Crystal Palace,72,75,73,GK,SUB,2017
2015,J. Ledley,Joe Ledley,27,Wales,Crystal Palace,72,73,73,"CM, CAM, CDM",SUB,2017
2015,F. Campbell,Fraizer Campbell,26,England,Crystal Palace,72,73,73,ST,CAM,2017
2015,D. Delaney,Damien Delaney,32,Republic of Ireland,Crystal Palace,72,72,72,CB,LCB,2015
2015,J. McArthur,James McArthur,26,Scotland,Crystal Palace,71,75,72,"CM, CDM",RDM,2017
2015,D. Gayle,Dwight Gayle,23,England,Crystal Palace,71,75,72,ST,ST,2017
2015,J. Williams,Jonathan Williams,20,Wales,Crystal Palace,70,79,72,"CAM, LW",SUB,2018
2015,A. Mariappa,Adrian Mariappa,27,Jamaica,Crystal Palace,70,71,71,"RB, CB",RB,2016
2015,K. Doyle,Kevin Doyle,30,Republic of Ireland,Crystal Palace,70,70,70,ST,SUB,2015
2015,J. Thomas,Jerome Thomas,31,England,Crystal Palace,69,69,69,LM,SUB,2015
2015,P. McCarthy,Patrick McCarthy,31,Republic of Ireland,Crystal Palace,67,67,67,CB,RES,2015
2015,A. Guedioura,Adlene Guedioura,28,Algeria,Crystal Palace,67,67,67,"CM, CDM",RES,2016
2015,S. O'Keefe,Stuart O'Keefe,23,England,Crystal Palace,66,70,67,"CM, CDM",RES,2015
2015,P. Ramage,Peter Ramage,30,England,Crystal Palace,66,66,66,CB,RES,2015
2015,J. Kebe,Jimmy Kebe,30,Mali,Crystal Palace,66,66,66,RM,RES,2016
2015,E. Fryers,Ezekiel Fryers,21,England,Crystal Palace,65,75,67,"CB, LB",SUB,2017
2015,L. Price,Lewis Price,29,Wales,Crystal Palace,64,64,64,GK,RES,2015
2015,K. De Silva,Kyle De Silva,20,England,Crystal Palace,61,69,63,"CAM, RW, LW",RES,2017
2015,C. Kettings,Chris Kettings,21,Scotland,Crystal Palace,60,67,62,GK,RES,2016
2015,H. Boateng,Hiram Boateng,18,England,Crystal Palace,57,76,61,"CDM, CM",RES,2015
2015,R. Inniss,Ryan Inniss,19,England,Crystal Palace,57,74,61,CB,RES,2020
2015,T. Howard,Tim Howard,35,United States,Everton,82,82,82,GK,GK,2018
2015,L. Baines,Leighton Baines,29,England,Everton,82,82,82,LB,LB,2018
2015,S. Eto'o,Samuel Eto'o,33,Cameroon,Everton,81,81,81,ST,SUB,2016
2015,R. Lukaku,Romelu Lukaku,21,Belgium,Everton,80,86,82,ST,ST,2019
2015,K. Mirallas,Kevin Mirallas,26,Belgium,Everton,80,81,81,RM,LM,2016
2015,G. Barry,Gareth Barry,33,England,Everton,80,80,80,CDM,LDM,2017
2015,S. Coleman,Seamus Coleman,25,Republic of Ireland,Everton,79,83,80,RB,RB,2019
2015,J. McCarthy,James McCarthy,23,Republic of Ireland,Everton,79,83,80,"CDM, CM",RDM,2018
2015,S. Pienaar,Steven Pienaar,32,South Africa,Everton,79,79,79,LM,SUB,2016
2015,P. Jagielka,Phil Jagielka,31,England,Everton,79,79,79,CB,LCB,2017
2015,R. Barkley,Ross Barkley,20,England,Everton,78,86,80,CAM,SUB,2018
2015,A. McGeady,Aiden McGeady,28,Republic of Ireland,Everton,78,78,78,"RM, RW",RM,2018
2015,S. Distin,Sylvain Distin,36,France,Everton,77,77,77,CB,SUB,2015
2015,C. Atsu,Christian Atsu,22,Ghana,Everton,76,81,77,"LW, CAM, RW",SUB,2015
2015,D. Gibson,Darron Gibson,26,Republic of Ireland,Everton,76,78,77,"CM, CDM",SUB,2016
2015,A. Kone,Arouna Kone,30,Ivory Coast,Everton,76,76,76,ST,SUB,2016
2015,L. Osman,Leon Osman,33,England,Everton,76,76,76,"CM, CAM",SUB,2015
2015,S. Naismith,Steven Naismith,27,Scotland,Everton,76,76,76,"ST, RM, CAM",CAM,2016
2015,A. Alcaraz,Antolin Alcaraz,31,Paraguay,Everton,74,74,74,CB,SUB,2015
2015,J. Stones,John Stones,20,England,Everton,73,83,75,"CB, RB",RCB,2019
2015,T. Hibbert,Tony Hibbert,33,England,Everton,72,72,72,RB,RES,2016
2015,M. Besic,Muhamed Besic,21,Bosnia Herzegovina,Everton,71,80,73,"CDM, CB",SUB,2019
2015,Joel Robles,Joel Robles,24,Spain,Everton,70,75,71,GK,SUB,2018
2015,B. Oviedo,Bryan Oviedo,24,Costa Rica,Everton,69,75,71,"LB, LM",RES,2016
2015,L. Garbutt,Luke Garbutt,21,England,Everton,64,72,66,"LB, LM",SUB,2015
2015,J. Stanek,Jindrich Stanek,18,Czech Republic,Everton,61,75,64,GK,RES,2016
2015,T. Browning,Tyias Browning,20,England,Everton,61,69,63,"CB, RB",RES,2017
2015,Francisco Junior,Francisco Junior,22,Guinea Bissau,Everton,61,67,63,"CM, CDM",RES,2016
2015,C. McAleny,Conor McAleny,21,England,Everton,61,65,62,"ST, LM",RES,2017
2015,B. Galloway,Brendan Galloway,18,England,Everton,60,74,63,"LB, CM",RES,2019
2015,R. Ledson,Ryan Ledson,16,England,Everton,59,80,64,"CM, CAM",RES,2017
2015,D. Henen,David Henen,18,Belgium,Everton,59,73,62,LW,RES,2015
2015,C. Long,Chris Long,19,England,Everton,59,72,62,ST,RES,2015
2015,M. Dawson,Michael Dawson,30,England,Hull City,79,79,79,CB,RCB,2017
2015,H. Ben Arfa,Hatem Ben Arfa,27,France,Hull City,78,78,78,"RM, RW, CAM",SUB,2015
2015,G. Ramirez,Gaston Ramirez,23,Uruguay,Hull City,77,81,78,"CAM, RM",SUB,2015
2015,T. Huddlestone,Tom Huddlestone,27,England,Hull City,75,78,76,"CM, CDM",CDM,2016
2015,C. Davies,Curtis Davies,29,England,Hull City,75,75,75,CB,LCB,2016
2015,R. Snodgrass,Robert Snodgrass,26,Scotland,Hull City,74,75,75,RM,SUB,2017
2015,A. McGregor,Allan McGregor,32,Scotland,Hull City,74,74,74,GK,GK,2016
2015,J. Livermore,Jake Livermore,24,England,Hull City,73,79,75,"CM, CDM",RCM,2017
2015,M. Diame,Mohamed Diame,27,Senegal,Hull City,73,74,74,"CM, RM, LM",CAM,2017
2015,M. Figueroa,Maynor Figueroa,31,Honduras,Hull City,73,73,73,"LB, LWB, CB",SUB,2015
2015,N. Jelavic,Nikica Jelavic,28,Croatia,Hull City,73,73,73,ST,LS,2017
2015,T. Ince,Thomas Ince,22,England,Hull City,72,79,74,"RM, LM, CAM",SUB,2016
2015,A. Hernandez,Abel Hernandez,23,Uruguay,Hull City,72,78,74,ST,RS,2017
2015,A. Elmohamady,Ahmed Elmohamady,26,Egypt,Hull City,72,73,73,"RWB, RM, RB",RB,2016
2015,R. Brady,Robbie Brady,22,Republic of Ireland,Hull City,71,77,73,"LM, LWB",SUB,2016
2015,S. Aluko,Sone Aluko,25,Nigeria,Hull City,71,75,72,"CF, RM, ST",SUB,2016
2015,Y. Sagbo,Yannick Sagbo,26,Ivory Coast,Hull City,71,74,72,ST,SUB,2015
2015,J. Chester,James Chester,25,Wales,Hull City,71,73,72,CB,SUB,2016
2015,A. Robertson,Andrew Robertson,20,Scotland,Hull City,69,81,72,"LB, LWB",LB,2017
2015,D. Meyler,David Meyler,25,Republic of Ireland,Hull City,68,70,69,"CM, LM",SUB,2016
2015,S. Harper,Steve Harper,39,England,Hull City,68,68,68,GK,SUB,2015
2015,S. Quinn,Stephen Quinn,28,Republic of Ireland,Hull City,68,68,68,"CM, LM",LCM,2015
2015,E. Jakupovic,Eldin Jakupovic,29,Switzerland,Hull City,67,67,67,GK,RES,2016
2015,L. Rosenior,Liam Rosenior,29,England,Hull City,67,67,67,"RB, RWB, LWB",SUB,2015
2015,A. Bruce,Alex Bruce,29,Northern Ireland,Hull City,67,67,67,CB,RES,2015
2015,H. Maguire,Harry Maguire,21,England,Hull City,66,76,68,CB,RES,2017
2015,P. McShane,Paul McShane,28,Republic of Ireland,Hull City,66,66,66,"CB, RB",RES,2015
2015,B. Lenihan,Brian Lenihan,20,Republic of Ireland,Hull City,60,72,63,"RB, LB, CM",RES,2020
2015,K. Rossi,Karim Rossi,20,Switzerland,Hull City,59,73,62,ST,RES,2020
2015,J. Ter Horst,Johan Ter Horst,19,England,Hull City,57,70,60,ST,RES,2017
2015,W. Aimson,Will Aimson,20,England,Hull City,57,68,60,CB,RES,2015
2015,C. Jahraldo-Martin,Calaum Jahraldo-Martin,21,Antigua & Barbuda,Hull City,56,66,58,ST,RES,2015
2015,J. Bowen,Jarrod Bowen,17,England,Hull City,55,71,59,ST,RES,2017
2015,E. Cambiasso,Esteban Cambiasso,33,Argentina,Leicester City,78,78,78,"CDM, CM",SUB,2015
2015,K. Schmeichel,Kasper Schmeichel,27,Denmark,Leicester City,74,77,75,GK,GK,2018
2015,D. Simpson,Danny Simpson,27,England,Leicester City,73,74,74,"RB, RWB",SUB,2017
2015,M. Upson,Matthew Upson,35,England,Leicester City,72,72,72,"CB, LB",SUB,2015
2015,L. Ulloa,Leonardo Ulloa,27,Argentina,Leicester City,72,72,72,ST,LS,2018
2015,M. Albrighton,Marc Albrighton,24,England,Leicester City,71,75,72,RM,SUB,2018
2015,W. Morgan,Wes Morgan,30,Jamaica,Leicester City,71,71,71,CB,RCB,2017
2015,D. Nugent,David Nugent,29,England,Leicester City,71,71,71,ST,RS,2016
2015,M. Wasilewski,Marcin Wasilewski,34,Poland,Leicester City,71,71,71,"CB, RB",SUB,2015
2015,A. Knockaert,Anthony Knockaert,22,France,Leicester City,70,77,72,"RM, LM",SUB,2016
2015,D. Drinkwater,Danny Drinkwater,24,England,Leicester City,70,74,71,CM,SUB,2018
2015,N. Powell,Nick Powell,20,England,Leicester City,69,79,71,"CAM, ST",SUB,2015
2015,L. Moore,Liam Moore,21,England,Leicester City,69,77,71,"CB, RB",LCB,2017
2015,C. Wood,Chris Wood,22,New Zealand,Leicester City,69,74,70,ST,SUB,2016
2015,R. Mahrez,Riyad Mahrez,23,Algeria,Leicester City,69,74,70,"RM, LM",RM,2017
2015,R. De Laet,Ritchie De Laet,25,Belgium,Leicester City,69,72,70,"RB, RWB",RB,2015
2015,J. Vardy,Jamie Vardy,27,England,Leicester City,69,71,70,ST,SUB,2018
2015,M. James,Matty James,22,England,Leicester City,68,73,69,CM,RES,2018
2015,A. King,Andy King,25,Wales,Leicester City,68,72,69,"CM, CAM",RCM,2015
2015,P. Konchesky,Paul Konchesky,33,England,Leicester City,68,68,68,LB,LB,2015
2015,G. Taylor-Fletcher,Gary Taylor-Fletcher,33,England,Leicester City,67,67,67,"ST, RW",RES,2015
2015,D. Hammond,Dean Hammond,31,England,Leicester City,67,67,67,"CM, CDM",LCM,2015
2015,B. Hamer,Ben Hamer,26,England,Leicester City,65,70,66,GK,SUB,2018
2015,J. Schlupp,Jeffrey Schlupp,21,Ghana,Leicester City,63,73,65,"LB, LM",LM,2017
2015,Z. Bakayogo,Zoumana Bakayogo,27,Ivory Coast,Leicester City,61,61,61,"LB, LM",RES,2015
2015,S. Stankevic�ius,Simonas Stankevic�ius,18,Lithuania,Leicester City,58,69,61,ST,RES,2015
2015,M. Cain,Michael Cain,20,England,Leicester City,58,68,60,"CM, CAM",RES,2015
2015,T. Lawrence,Tom Lawrence,20,Wales,Leicester City,58,63,59,"LM, ST",RES,2018
2015,J. Pearson,James Pearson,21,England,Leicester City,58,62,59,"RB, CB",RES,2015
2015,A. Smith,Adam Smith,21,England,Leicester City,58,61,59,GK,SUB,2015
2015,J. Barmby,Jack Barmby,19,England,Leicester City,57,69,60,"CF, CAM",RES,2016
2015,J. Dodoo,Joe Dodoo,19,England,Leicester City,56,70,59,ST,RES,2015
2015,T. Hopper,Tom Hopper,20,England,Leicester City,56,64,58,ST,RES,2016
2015,D. Sturridge,Daniel Sturridge,24,England,Liverpool,83,86,84,"ST, RW",SUB,2018
2015,M. Balotelli,Mario Balotelli,23,Italy,Liverpool,82,86,83,ST,ST,2017
2015,S. Mignolet,Simon Mignolet,26,Belgium,Liverpool,82,83,83,GK,GK,2017
2015,S. Gerrard,Steven Gerrard,34,England,Liverpool,82,82,82,"CDM, CM",LDM,2015
2015,Coutinho,Philippe Coutinho,22,Brazil,Liverpool,81,86,82,"CAM, LW, CM",CAM,2017
2015,M. Sakho,Mamadou Sakho,24,France,Liverpool,81,83,82,CB,LCB,2018
2015,M. Skrtel,Martin Skrtel,29,Slovakia,Liverpool,81,81,81,CB,SUB,2016
2015,R. Sterling,Raheem Sterling,19,England,Liverpool,80,86,82,"RW, LW, CAM",SUB,2016
2015,D. Lovren,Dejan Lovren,24,Croatia,Liverpool,80,82,81,CB,RCB,2019
2015,A. Lallana,Adam Lallana,26,England,Liverpool,79,83,80,"CAM, RM, LM",LM,2019
2015,Lucas Leiva,Lucas Leiva,27,Brazil,Liverpool,79,79,79,"CDM, CM",SUB,2017
2015,L. Marković,Lazar Markovic,20,Serbia,Liverpool,78,87,80,"RM, LM",RM,2019
2015,Alberto Moreno,Alberto Moreno,21,Spain,Liverpool,78,84,80,LB,LB,2018
2015,J. Henderson,Jordan Henderson,24,England,Liverpool,78,83,79,CM,RDM,2016
2015,K. Toure,Kolo Toure,33,Ivory Coast,Liverpool,78,78,78,CB,SUB,2015
2015,J. Allen,Joe Allen,24,Wales,Liverpool,77,82,78,"CM, CDM",SUB,2017
2015,Jose Enrique,Jose Enrique,28,Spain,Liverpool,77,77,77,LB,SUB,2015
2015,R. Lambert,Rickie Lambert,32,England,Liverpool,76,76,76,ST,SUB,2016
2015,G. Johnson,Glen Johnson,29,England,Liverpool,76,76,76,"RB, LB",SUB,2015
2015,F. Borini,Fabio Borini,23,Italy,Liverpool,75,79,76,"ST, LM",SUB,2017
